City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
233,Sena Madureira,-9.0656,-68.6569,75.74,85,98,2.26,overcast clouds,BR,2021-04-10 21:31:16
234,Yarim,14.298,44.3779,56.08,35,4,0.02,clear sky,YE,2021-04-10 21:31:16
235,Baoqing,46.3317,132.2111,44.24,55,100,10.04,overcast clouds,CN,2021-04-10 21:31:17
236,Qaqortoq,60.7167,-46.0333,42.8,61,60,5.75,broken clouds,GL,2021-04-10 21:31:17
237,Katsuura,35.1333,140.3,50.0,62,20,10.36,few clouds,JP,2021-04-10 21:31:18
238,Sao Joao Da Barra,-21.6403,-41.0511,77.0,69,0,4.61,clear sky,BR,2021-04-10 21:31:18
239,Kyren,51.6828,102.1408,21.81,79,88,3.47,overcast clouds,RU,2021-04-10 21:31:18
240,Atar,20.5169,-13.0499,82.94,19,1,11.83,clear sky,MR,2021-04-10 21:31:19
241,Sao Filipe,14.8961,-24.4956,75.58,64,25,10.36,scattered clouds,CV,2021-04-10 21:31:19
242,Clyde River,70.4692,-68.5914,28.4,59,90,14.97,overcast clouds,CA,2021-04-10 21:31:19
243,Puri,19.8,85.85,78.8,94,40,4.61,haze,IN,2021-04-10 21:31:20
244,Gisborne,-38.6533,178.0042,65.14,81,57,4.18,broken clouds,NZ,2021-04-10 21:29:52
245,San Cristobal,7.7669,-72.225,86.0,54,40,5.75,scattered clouds,VE,2021-04-10 21:31:20
246,La Ronge,55.1001,-105.2842,39.2,56,90,8.05,overcast clouds,CA,2021-04-10 21:31:20
247,Nizwa,22.9333,57.5333,73.74,50,1,3.53,clear sky,OM,2021-04-10 21:31:21
248,Port-Cartier,50.0334,-66.8654,37.99,60,20,9.22,few clouds,CA,2021-04-10 21:31:21
249,Chimbote,-9.0853,-78.5783,70.86,83,83,7.78,broken clouds,PE,2021-04-10 21:31:22
250,Miquelon,47.0975,-56.3814,42.8,61,75,11.5,broken clouds,PM,2021-04-10 21:31:22
251,Tansen,27.8673,83.5467,57.42,9,1,7.05,clear sky,NP,2021-04-10 21:31:22
252,Komsomolskiy,40.4272,71.7189,55.4,44,1,4.61,clear sky,UZ,2021-04-10 21:31:23
253,Chara,56.9064,118.2631,-2.67,75,68,2.17,broken clouds,RU,2021-04-10 21:31:23
254,Salo,45.6086,10.531,54.0,62,90,6.91,overcast clouds,IT,2021-04-10 21:31:23
255,Zaoyang,32.1272,112.7542,57.49,73,100,4.0,overcast clouds,CN,2021-04-10 21:31:24
256,Bukachacha,52.9833,116.9167,17.53,56,70,3.8,broken clouds,RU,2021-04-10 21:31:24
257,Batemans Bay,-35.7167,150.1833,53.01,60,1,1.99,clear sky,AU,2021-04-10 21:31:24
258,Alugan,12.2188,125.4808,78.82,81,69,9.8,broken clouds,PH,2021-04-10 21:31:25
259,Devonport,-41.1667,146.35,44.01,78,23,14.14,few clouds,AU,2021-04-10 21:31:25
